frame,emotion,gaze_x,gaze_y,AU_0,AU_1,AU_2,AU_3,AU_4,AU_5,AU_6,AU_7
0,0,0.0017588697373867,-0.0219261683523654,0.0,0.0,0.0,0.0,0.0,0.0,0.002063704188913107,0.0009259424405172467
1,0,-0.0130415894091129,0.007890610024333,0.0,0.0,0.0,0.0,0.0,0.0,0.0072807795368134975,0.004926883149892092
2,0,-0.0024379938840866,0.0415501594543457,0.0,0.0,0.0,0.0,0.0,0.0,0.007061257492750883,0.002566017210483551
3,0,-0.00727479159832,-0.0442183353006839,0.0,0.0,0.0,0.0,0.0,0.0,0.004684127867221832,0.0027396271470934153
4,0,-0.0052126422524452,-0.0113941403105854,0.0,0.0,0.0,0.0,0.0,0.0,4.978049037163146e-05,0.0028755057137459517
5,0,0.0003553591668605,-0.0222313590347766,0.0,0.0,0.0,0.0,0.0,0.0,0.005912983790040016,0.00617309520021081
6,0,-0.0140796490013599,-0.0016762521117925,0.0,0.0,0.0,0.0,0.0,0.0027615667786449194,0.009080659598112106,0.00896388478577137
7,0,-0.0193858370184898,0.0506443791091442,0.0,0.0,0.0,0.0,0.0,0.0,0.003390238154679537,0.003616791218519211
8,0,-0.0472266040742397,0.0697959139943122,0.0,0.0,0.0,0.0,0.0,0.005344485864043236,0.028380252420902252,0.004931348841637373
9,0,-0.0693828165531158,0.1328457593917846,0.0,0.0,0.0,0.0,0.0,0.0,0.0008924230933189392,0.0001641492999624461
10,0,-0.0988805294036865,0.1158209145069122,0.0,0.0,0.0,0.0,0.0,0.006787150166928768,0.022153498604893684,0.007234880235046148
11,7,-0.0977628082036972,0.1051766648888588,0.0,0.0,0.0,0.0,0.0,0.016279172152280807,0.08591156452894211,0.003912901505827904
12,0,-0.0382919497787952,-0.0387367941439151,0.0,0.0,0.0,0.0,0.0,0.0,0.008986135944724083,0.0
13,0,-0.0345745049417018,-0.0609188713133335,0.0,0.0,0.0,0.0,0.0,0.0,0.01882411353290081,0.00018771004397422075
14,0,-0.0258859656751155,-0.0494429655373096,0.0,0.0,0.0,0.0,0.0,0.0,0.0061348541639745235,0.0031781953293830156
